plan_component,workload_group,workload_name,observed_workload_names,source_versions,node_values,ppn,reader_threads_values,reader_batch_size,reader_prefetch_workers,reader_transfer_size,dataset_format_values,num_files_values,num_samples_values,record_length_bytes,checkpoint_steps,checkpoint_mechanism,scr_cache_size,scr_file_buf_size,scr_flush,scr_flush_async,train_epochs,total_training_steps,chunk_size,computation_time,repeat_count
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,4,1,48,false,262144,tfrecord,50000,3135,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,131072,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,262144,tfrecord,1000,156766,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,3
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,32768,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,1,48,false,65536,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,2,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,4,48,false,32768,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,1,8,6,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,16,8,1,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,16,8,16,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,16,8,4,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,4,1,48,false,262144,tfrecord,25000,6271,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,4,1,48,false,262144,tfrecord,50000,3135,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,1,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,1,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,16777216,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,32768,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,4194304,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,4,8,6,48,false,65536,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,64,4,1,48,false,262144,tfrecord,25000,6271,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,64,4,1,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,64,4,1,48,false,262144,tfrecord,50000,3135,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,64,4,16,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,64,4,16,48,false,262144,tfrecord,50000,3135,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,1048576,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,1048576,tfrecord,250,627064,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,5
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,1048576,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,262144,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,262144,tfrecord,250,627064,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,5
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,1,48,false,262144,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,4
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,1048576,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,1048576,tfrecord,250,627064,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,1048576,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,262144,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,262144,tfrecord,250,627064,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,16,48,false,262144,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,7
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,1048576,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,1048576,tfrecord,250,627064,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,1048576,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,1048576,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,262144,tfrecord,125,1254128,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,262144,tfrecord,250,627064,2500,,,,,,,1,,,0.968,3
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,262144,tfrecord,500,313532,2500,,,,,,,1,,,0.968,1
custom_bert_resnet_model_sweeps,bert,bert_v100,bert_v100,custom,8,8,4,48,false,262144,tfrecord,62,2508256,2500,,,,,,,1,,,0.968,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,1,4,1,64,false,262144,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,1,8,1,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,1,8,1,64,false,,tfrecord,2048,625,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,1,8,6,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,1,8,8,64,false,,tfrecord,2048,625,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,4,1,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,4,1,64,false,,tfrecord,128,10008,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,4,1,64,false,,tfrecord,256,5004,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,4,1,64,false,,tfrecord,512,2502,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,4,1,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,16,8,6,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,,tfrecord,128,10008,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,,tfrecord,256,5004,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,1048576,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,1048576,tfrecord,64,20001,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,1,64,false,262144,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,16,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,16,64,false,1048576,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,2,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,4,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,32,4,8,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,1,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,2
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,1,64,false,1048576,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,6,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,8,64,false,,tfrecord,1024,1251,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,8,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,4,8,8,64,false,,tfrecord,2048,625,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,1024,1251,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,128,10008,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,256,5004,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,512,2502,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,64,20001,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,1,64,false,,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,2,64,false,,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,4,2,64,false,262144,tfrecord,64,20001,114660,,,,,,,5,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,1048576,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,4
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,1048576,tfrecord,256,5004,114660,,,,,,,5,,,0.195,4
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,1048576,tfrecord,64,20001,114660,,,,,,,5,,,0.195,3
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,262144,tfrecord,1024,1251,114660,,,,,,,5,,,0.195,6
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,262144,tfrecord,256,5004,114660,,,,,,,5,,,0.195,4
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,1,64,false,262144,tfrecord,64,20001,114660,,,,,,,5,,,0.195,3
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,16,64,false,,tfrecord,2048,625,114660,,,,,,,1,,,0.195,1
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,16,64,false,1048576,tfrecord,256,5004,114660,,,,,,,5,,,0.195,3
custom_bert_resnet_model_sweeps,resnet50,resnet50_v100,resnet50_v100,custom,8,8,16,64,false,1048576,tfrecord,64,20001,114660,,,,,,,5,,,0.195,3
